thickness_cm,energy_mev,w_H,density_g_cm3,transmitted_dose_mgy
15.22,56.53,0.0959,0.9027,0.0
11.98,35.32,0.0578,0.8818,0.0
7.7,363.08,0.1014,0.9058,39.9737
11.88,468.83,0.0485,0.8767,48.09
6.06,145.08,0.0456,0.8751,10.198
12.18,258.18,0.0997,0.9048,15.6475
16.95,472.21,0.1363,0.925,38.9776
10.04,426.44,0.1096,0.9103,45.063
10.69,294.69,0.1121,0.9117,24.3966
7.2,453.29,0.0905,0.8998,54.558
8.15,194.59,0.0541,0.8798,13.826
17.51,161.24,0.023,0.8627,0.1045
1.28,147.03,0.0501,0.8776,19.6893
5.51,37.7,0.0706,0.8888,0.0
8.38,384.52,0.1449,0.9297,42.0705
4.2,150.59,0.0255,0.864,14.685
17.97,70.51,0.0523,0.8788,0.2753
3.3,94.79,0.0216,0.8619,8.1824
9.36,277.89,0.0687,0.8878,24.0762
17.46,35.15,0.056,0.8808,0.0
0.53,335.57,0.037,0.8703,49.4073
14.25,105.25,0.0811,0.8946,0.0
15.34,207.73,0.1357,0.9246,2.4722
16.7,222.35,0.0632,0.8848,2.2766
11.39,240.43,0.0931,0.9012,14.8825
15.43,126.37,0.0621,0.8842,0.0
8.34,411.98,0.0869,0.8978,46.1932
7.87,456.88,0.0668,0.8867,53.9604
12.92,37.49,0.0819,0.895,0.345
2.56,418.28,0.0771,0.8924,57.6892
11.76,377.82,0.1457,0.9301,34.8462
6.12,177.52,0.0257,0.8641,15.4126
1.85,417.45,0.0593,0.8826,59.1961
16.84,477.63,0.1391,0.9265,39.8648
1.87,64.56,0.0364,0.87,6.3535
1.17,73.85,0.1174,0.9146,9.131
19.89,214.16,0.0386,0.8712,0.0799
6.25,499.31,0.0277,0.8652,63.3819
18.28,307.5,0.0632,0.8848,11.8271
19.4,356.27,0.0738,0.8906,17.265
15.2,147.07,0.0241,0.8633,0.1804
8.36,369.96,0.0732,0.8903,39.9315
3.01,387.68,0.1168,0.9142,52.0567
19.31,305.39,0.1148,0.9131,9.6083
10.65,387.99,0.1461,0.9304,38.4807
10.68,265.61,0.0276,0.8652,19.7571
16.32,302.58,0.0368,0.8702,14.8565
2.1,468.41,0.0848,0.8966,66.2232
18.88,191.28,0.1289,0.9209,0.0293
14.87,58.96,0.051,0.878,0.0
18.34,225.96,0.0925,0.9009,0.0
8.48,338.58,0.1289,0.9209,34.6276
8.4,365.48,0.0296,0.8663,39.2864
17.0,196.65,0.1071,0.9089,0.0
2.62,104.94,0.062,0.8841,10.9238
14.28,47.4,0.0713,0.8892,0.0863
12.0,75.1,0.1051,0.9078,0.0698
1.93,115.56,0.0334,0.8684,13.7723
14.67,131.83,0.0407,0.8724,0.0
7.44,490.32,0.0764,0.892,59.4754
2.42,78.44,0.0388,0.8713,7.3685
17.54,94.98,0.1075,0.9091,0.0
18.58,434.85,0.0672,0.887,30.6594
11.32,199.71,0.1032,0.9068,8.6724
2.37,23.82,0.1408,0.9274,0.0
13.62,478.14,0.1437,0.929,46.1041
9.58,64.34,0.0271,0.8649,0.0
5.93,195.38,0.1214,0.9168,18.5466
9.44,237.85,0.0427,0.8735,18.3692
0.82,170.95,0.0365,0.8701,23.9238
5.16,215.81,0.0434,0.8739,22.6284
16.86,358.38,0.0582,0.882,22.1461
11.53,293.41,0.0499,0.8774,22.3803
10.16,257.43,0.1291,0.921,19.5287
9.42,215.17,0.0464,0.8755,14.9121
6.51,472.25,0.0253,0.8639,58.5097
8.08,449.11,0.0753,0.8914,52.3959
12.24,365.47,0.1378,0.9258,31.7923
16.75,158.66,0.0983,0.9041,0.0167
19.38,171.15,0.1126,0.9119,0.0495
18.23,471.48,0.0407,0.8724,36.5553
8.77,468.53,0.0637,0.885,53.7741
16.44,239.44,0.0378,0.8708,4.9504
9.36,251.48,0.1337,0.9235,20.3578
8.99,312.89,0.1414,0.9278,29.9955
1.88,330.84,0.1481,0.9315,46.1061
15.74,265.81,0.0449,0.8747,10.1779
19.84,389.44,0.0674,0.8871,21.4421
6.81,131.97,0.1135,0.9124,6.926
19.49,282.96,0.0907,0.8999,6.0637
14.76,308.19,0.0882,0.8985,18.7701
7.86,274.45,0.0754,0.8915,26.3454
1.37,168.15,0.1453,0.9299,22.6761
7.34,241.55,0.1061,0.9084,22.5415
11.52,196.24,0.0708,0.8889,8.2206
3.81,331.1,0.0787,0.8933,42.8865
8.55,212.62,0.0814,0.8948,16.4251
13.41,381.51,0.0782,0.893,32.3478
16.59,179.02,0.1311,0.9221,0.0539
1.6,58.57,0.1196,0.9158,5.87
13.51,131.03,0.1151,0.9133,0.0
6.37,341.13,0.1389,0.9264,39.3922
9.06,350.0,0.1181,0.915,35.4001
10.84,61.93,0.0558,0.8807,0.3059
19.89,87.41,0.0266,0.8646,0.0
11.61,336.34,0.1008,0.9054,28.8953
14.42,64.15,0.0769,0.8923,0.0
4.5,165.05,0.1349,0.9242,16.5282
14.89,331.9,0.1097,0.9103,21.799
3.53,92.89,0.1102,0.9106,7.3177
1.34,254.09,0.1069,0.9088,35.759
13.94,477.37,0.0304,0.8667,45.5261
12.86,479.36,0.0309,0.867,47.5142
1.89,159.41,0.0452,0.8749,20.1262
11.79,365.61,0.0429,0.8736,33.0776
0.73,422.19,0.1367,0.9252,61.8256
0.98,204.04,0.1044,0.9074,28.6989
11.1,167.48,0.1193,0.9156,4.6184
13.09,422.74,0.0607,0.8834,39.2248
2.1,159.17,0.124,0.9182,19.7833
15.46,351.23,0.1256,0.9191,23.5662
0.87,487.44,0.0618,0.884,71.4335
2.95,364.56,0.0553,0.8804,49.0944
7.83,373.56,0.0755,0.8915,41.1109
16.55,445.2,0.0748,0.8911,35.9334
8.46,46.31,0.0843,0.8964,0.4053
8.46,351.18,0.115,0.9133,36.7883
12.18,283.42,0.1105,0.9108,19.3681
2.63,348.16,0.0459,0.8752,47.3941
1.04,363.41,0.0853,0.8969,52.3205
4.27,201.29,0.1403,0.9272,22.5021
10.79,61.5,0.1149,0.9132,0.0
13.26,35.45,0.143,0.9286,0.0
11.05,393.23,0.1385,0.9262,38.2183
7.66,413.09,0.136,0.9248,47.6962
6.86,177.84,0.0869,0.8978,13.8834
18.98,280.69,0.0601,0.8831,6.4605
2.38,128.23,0.0652,0.8859,14.9293
9.38,279.94,0.0587,0.8823,24.2288
10.12,365.07,0.0792,0.8936,35.7233
15.14,112.13,0.0971,0.9034,0.0
18.87,371.26,0.0267,0.8647,20.5104
15.31,401.16,0.0703,0.8887,31.8241
5.23,448.53,0.0865,0.8976,57.1674
16.06,490.12,0.0616,0.8839,43.5486
2.06,491.46,0.1363,0.925,70.1441
10.4,112.97,0.1273,0.92,0.0
18.59,252.68,0.1404,0.9272,2.9823
11.29,319.35,0.0678,0.8873,27.0017
2.46,410.11,0.1366,0.9251,57.0832
7.85,402.4,0.1239,0.9181,45.5158
19.28,399.54,0.1172,0.9145,23.9468
7.02,356.62,0.1063,0.9085,40.2613
6.3,283.52,0.1106,0.9108,30.327
4.23,96.81,0.065,0.8858,6.4721
5.55,41.13,0.1186,0.9152,0.0
0.59,70.32,0.0383,0.8711,9.5284
17.79,277.86,0.069,0.888,8.0402
11.69,49.66,0.103,0.9066,0.079
17.55,224.74,0.1271,0.9199,0.7131
6.67,208.08,0.1319,0.9225,18.7266
11.13,409.9,0.0406,0.8723,40.706
12.79,271.66,0.1269,0.9198,17.0552
13.79,470.11,0.0699,0.8884,44.5574
6.76,257.05,0.0286,0.8657,25.8528
10.0,441.98,0.0394,0.8717,47.1315
8.63,148.46,0.1016,0.9059,5.9677
6.0,227.89,0.0391,0.8715,23.1089
14.0,53.34,0.0594,0.8827,0.0944
5.34,264.45,0.0249,0.8637,29.9495
4.43,209.48,0.1266,0.9196,23.0828
17.93,318.09,0.0787,0.8933,13.8416
4.73,149.08,0.0817,0.8949,13.4461
0.66,252.68,0.0751,0.8913,36.7895
16.85,217.55,0.0931,0.9012,0.9779
10.23,103.84,0.0787,0.8933,0.0442
13.16,403.59,0.062,0.8841,35.4853
9.3,248.63,0.0238,0.8631,19.9556
5.78,311.04,0.0376,0.8707,35.8692
0.89,169.7,0.1355,0.9245,23.7314
11.93,419.93,0.1387,0.9263,40.4403
11.58,108.02,0.0555,0.8805,0.0
3.89,271.94,0.1266,0.9196,33.2611
6.55,400.63,0.097,0.9033,47.7378
9.01,76.95,0.0807,0.8944,0.335
1.88,79.34,0.0548,0.8801,8.3756
15.99,455.31,0.105,0.9077,38.4269
15.62,182.82,0.1314,0.9223,0.0797
11.59,440.07,0.0356,0.8696,44.0331
12.64,204.54,0.1339,0.9236,7.1232
7.51,11.46,0.1105,0.9108,0.1231
11.24,164.36,0.025,0.8638,3.9925
8.25,74.05,0.028,0.8654,0.45
5.93,86.46,0.0377,0.8707,1.829
10.89,298.65,0.1243,0.9184,24.4372
0.54,335.6,0.036,0.8698,49.5522
1.07,243.96,0.049,0.877,34.4045
3.64,202.22,0.0898,0.8994,23.6287
11.39,372.24,0.1413,0.9277,34.7256
1.21,168.07,0.1462,0.9304,22.909
8.05,255.57,0.0699,0.8884,23.403
5.98,426.49,0.1404,0.9272,52.6347
17.16,218.86,0.0706,0.8888,0.7692
5.36,423.41,0.0372,0.8705,53.5087
13.04,266.57,0.0954,0.9025,15.6829
8.05,276.95,0.1484,0.9316,26.7656
10.21,178.36,0.0715,0.8893,7.6859
6.98,269.07,0.0861,0.8974,27.1177
6.89,149.1,0.1061,0.9084,9.6128
3.19,14.55,0.0947,0.9021,0.3494
2.41,80.75,0.0418,0.873,7.7718
11.36,138.15,0.0772,0.8925,0.2759
16.26,378.06,0.0228,0.8625,25.9274
12.62,216.34,0.114,0.9127,8.359
4.58,264.73,0.0291,0.866,31.4576
9.33,121.67,0.0465,0.8756,0.5164
13.98,360.39,0.1023,0.9063,28.1331
5.47,207.72,0.0723,0.8898,20.9445
1.39,32.23,0.1281,0.9205,2.3514
17.04,295.83,0.1288,0.9208,12.2568
14.79,347.98,0.0417,0.8729,24.9149
8.73,463.36,0.1421,0.9282,52.8857
5.96,107.88,0.0539,0.8796,5.1551
7.08,110.76,0.1457,0.9301,3.3781
1.48,105.56,0.0378,0.8708,12.7454
6.75,446.06,0.115,0.9133,54.4986
14.64,89.52,0.0712,0.8892,0.1905
16.58,336.71,0.1124,0.9118,19.3822
10.79,379.26,0.0969,0.9033,36.8467
7.13,333.58,0.0937,0.9015,36.2597
15.4,278.14,0.0495,0.8772,13.0367
1.85,323.56,0.1402,0.9271,45.293
19.68,477.58,0.0829,0.8956,34.5129
16.55,315.66,0.1,0.905,16.6147
8.54,109.69,0.1488,0.9318,0.4054
6.76,276.67,0.1205,0.9163,28.8454
19.92,425.74,0.036,0.8698,26.3598
6.08,323.51,0.1471,0.9309,37.0165
15.46,82.16,0.0374,0.8706,0.0
2.87,128.88,0.0422,0.8732,13.5673
1.54,360.39,0.0706,0.8888,50.9417
5.97,161.16,0.0928,0.901,12.7775
11.06,300.13,0.143,0.9286,24.4369
2.7,323.39,0.1463,0.9305,43.3516
10.36,387.16,0.1099,0.9104,38.5384
12.36,456.79,0.0698,0.8884,45.3136
1.99,431.72,0.0366,0.8701,60.8488
14.67,454.1,0.1134,0.9124,40.8965
8.12,209.75,0.0932,0.9013,16.3708
17.78,298.81,0.0276,0.8652,11.2888
12.68,229.34,0.032,0.8676,10.8648
8.23,311.96,0.0408,0.8724,31.4745
4.78,438.14,0.1265,0.9196,56.5558
16.53,180.42,0.1256,0.9191,0.0
3.06,20.03,0.0277,0.8652,0.0546
18.77,92.29,0.0288,0.8658,0.2165
2.65,83.95,0.0202,0.8611,7.7261
10.69,444.91,0.1361,0.9249,46.3227
19.11,253.41,0.1396,0.9268,2.0547
4.07,395.64,0.091,0.9001,51.8648
7.56,479.5,0.0693,0.8881,57.7016
12.39,132.56,0.072,0.8896,0.0
7.35,408.19,0.0627,0.8845,47.4172
5.33,226.08,0.0207,0.8614,23.894
2.43,235.07,0.0639,0.8851,30.5864
14.67,163.94,0.0205,0.8613,0.2282
8.66,308.98,0.0321,0.8677,29.6653
14.33,364.9,0.1313,0.9222,28.0159
8.92,376.26,0.1248,0.9186,39.8
14.97,275.21,0.023,0.8627,13.2076
1.19,56.07,0.0763,0.892,6.3153
13.14,146.88,0.0338,0.8686,0.0
2.84,247.24,0.1003,0.9052,31.6439
1.63,292.8,0.074,0.8907,40.8771
19.36,375.04,0.1318,0.9225,19.9741
11.4,250.11,0.1198,0.9159,16.1932
1.15,442.53,0.0732,0.8903,64.2293
13.73,420.49,0.1196,0.9158,37.1951
4.15,166.22,0.0678,0.8873,17.3348
6.62,56.49,0.0612,0.8837,0.0482
0.83,381.28,0.1072,0.909,55.3212
13.84,76.47,0.1291,0.921,0.1147
3.6,256.32,0.1031,0.9067,31.2882
4.67,352.21,0.0296,0.8663,44.3175
13.92,34.85,0.0206,0.8613,0.0
4.61,392.66,0.0235,0.8629,50.0002
3.34,166.12,0.0613,0.8837,18.7364
14.31,364.36,0.028,0.8654,27.8256
4.27,82.37,0.0624,0.8843,3.9263
6.71,372.26,0.0371,0.8704,43.2618
19.78,370.03,0.0279,0.8653,18.4121
10.83,274.7,0.1124,0.9118,20.7235
16.72,37.86,0.1293,0.9211,0.0
15.27,74.38,0.0956,0.9026,0.0
16.97,326.73,0.1185,0.9152,16.8127
8.03,418.9,0.1129,0.9121,47.9169
3.52,222.3,0.1211,0.9166,26.8005
19.97,29.82,0.0321,0.8677,0.101
17.13,76.01,0.1266,0.9196,0.1419
14.57,429.78,0.094,0.9017,37.0046
0.51,438.52,0.1443,0.9294,65.003
20.0,474.86,0.0228,0.8625,33.8373
1.66,496.56,0.0442,0.8743,71.2022
15.29,79.99,0.1218,0.917,0.1913
3.54,140.18,0.067,0.8869,14.3377
10.68,394.04,0.1282,0.9205,39.3851
6.93,391.8,0.0664,0.8865,45.6916
6.66,351.28,0.0258,0.8642,40.033
4.85,235.28,0.0588,0.8823,26.5471
19.25,43.26,0.0855,0.897,0.0
8.52,311.61,0.0955,0.9025,30.5207
9.49,419.07,0.0625,0.8844,44.9201
2.62,423.84,0.1067,0.9087,58.3621
1.45,246.87,0.0533,0.8793,34.1644
8.4,127.78,0.0589,0.8824,3.1085
7.17,318.63,0.0576,0.8817,34.0922
9.88,366.66,0.1114,0.9113,36.5227
9.6,278.25,0.0598,0.8829,23.8383
4.57,130.13,0.1118,0.9115,11.1469
11.51,164.49,0.1129,0.9121,3.3429
2.84,427.07,0.1455,0.93,58.8796
7.52,133.77,0.0844,0.8964,5.8524
11.61,36.23,0.0908,0.8999,0.0
4.46,134.58,0.1157,0.9136,11.4068
9.53,109.53,0.0223,0.8623,0.0
18.63,454.53,0.1495,0.9322,33.6252
8.94,288.78,0.0323,0.8678,26.2766
13.77,294.4,0.0977,0.9037,18.2007
15.66,433.73,0.0591,0.8825,35.6916
14.49,219.37,0.0448,0.8746,6.0853
2.03,20.7,0.1244,0.9184,0.3725
9.0,128.94,0.0926,0.9009,2.5499
17.83,267.59,0.0964,0.903,6.5472
13.86,329.77,0.0735,0.8904,23.86
9.44,140.8,0.0703,0.8887,3.2709
3.42,269.46,0.0511,0.8781,34.0326
14.87,136.89,0.1499,0.9324,0.0493
1.25,400.71,0.0279,0.8653,57.9039
9.33,220.74,0.0239,0.8631,15.3371
1.37,444.66,0.0969,0.9033,63.855
12.89,297.93,0.0568,0.8812,20.4784
7.72,179.79,0.1141,0.9128,12.2102
5.6,241.3,0.0652,0.8859,25.7578
14.06,432.8,0.1257,0.9191,38.9718
8.31,474.24,0.0751,0.8913,55.5504
6.96,202.26,0.1049,0.9077,17.1228
8.0,434.52,0.0317,0.8674,50.4402
8.31,201.26,0.0842,0.8963,14.3055
2.03,135.69,0.1413,0.9277,16.4538
17.41,153.7,0.0951,0.9023,0.1516
19.02,245.78,0.0691,0.888,1.2367
6.49,151.04,0.0412,0.8727,10.6547
8.67,462.28,0.053,0.8791,52.9456
10.91,393.33,0.0212,0.8617,38.8581
8.67,373.2,0.1263,0.9195,40.0667
14.48,290.73,0.0753,0.8914,16.4393
8.8,127.58,0.0603,0.8832,2.2276
15.21,235.63,0.1331,0.9232,6.699
14.22,29.38,0.1341,0.9238,0.1908
4.05,484.81,0.1248,0.9186,64.7568
19.39,266.44,0.0447,0.8746,3.8632
12.66,15.15,0.0449,0.8747,0.1309
7.77,77.33,0.1136,0.9125,0.0
10.19,87.87,0.1207,0.9164,0.0
13.91,22.3,0.0711,0.8891,0.2074
0.71,146.57,0.1011,0.9056,20.6221
17.4,476.74,0.0668,0.8867,38.6721
11.91,473.85,0.0624,0.8843,48.9338
18.99,79.52,0.0647,0.8856,0.1709
14.45,390.89,0.1357,0.9246,31.0692
9.49,69.98,0.1212,0.9167,0.0
13.26,470.89,0.1479,0.9313,45.8677
16.72,228.25,0.0321,0.8677,3.0132
16.91,112.84,0.0284,0.8656,0.0
18.84,402.96,0.0478,0.8763,25.336
14.65,373.53,0.1197,0.9158,28.8839
5.19,40.19,0.0854,0.897,0.1562
11.04,313.76,0.1367,0.9252,26.6409
12.72,148.56,0.1058,0.9082,0.5719
3.78,309.42,0.0534,0.8794,39.4739
9.69,225.05,0.0317,0.8674,15.3872
5.86,286.52,0.0472,0.876,31.8838
10.91,102.64,0.0327,0.868,0.2792
12.53,354.47,0.024,0.8632,29.7588
4.41,317.11,0.0652,0.8859,39.2316
8.07,114.88,0.0462,0.8754,2.1146
2.62,122.66,0.065,0.8858,13.7346
14.25,196.95,0.1174,0.9146,2.8528
16.03,393.09,0.126,0.9193,28.7598
13.11,370.33,0.0615,0.8838,31.2691
15.83,281.71,0.1445,0.9295,12.5198
10.83,118.72,0.0924,0.9008,0.0
11.8,287.52,0.0469,0.8758,20.6468
13.27,410.23,0.1195,0.9157,36.5521
9.32,279.02,0.0755,0.8915,24.4308
12.47,414.01,0.1306,0.9218,38.8143
18.33,81.84,0.0602,0.8831,0.0
7.74,10.3,0.0834,0.8959,0.0573
17.97,104.04,0.0254,0.864,0.0
6.22,246.69,0.0386,0.8712,25.0867
9.41,417.83,0.0464,0.8755,45.1123
7.89,419.78,0.0949,0.9022,48.404
17.07,86.24,0.1337,0.9235,0.0078
10.46,240.59,0.0696,0.8883,16.604
10.25,397.49,0.0883,0.8986,40.3203
0.53,316.0,0.0418,0.873,46.2406
13.1,439.65,0.1012,0.9057,41.3961
1.9,485.84,0.1244,0.9184,69.1657
8.72,486.4,0.1185,0.9152,56.3955
12.17,386.23,0.0839,0.8961,35.0658
13.43,305.77,0.0471,0.8759,20.8484
8.2,251.69,0.094,0.9017,22.2713
4.85,428.82,0.1409,0.9275,55.5113
9.12,226.88,0.0936,0.9015,17.1972
8.37,222.24,0.0405,0.8723,17.836
19.23,107.77,0.0433,0.8738,0.1696
11.13,276.45,0.0753,0.8914,20.768
8.54,438.68,0.1226,0.9174,49.7659
4.56,370.34,0.0247,0.8636,46.9847
3.13,26.4,0.0769,0.8923,0.0843
17.06,184.06,0.0322,0.8677,0.0346
1.74,473.98,0.0958,0.9027,67.7575
7.64,296.57,0.1429,0.9286,30.0306
6.22,378.35,0.0588,0.8823,44.8254
9.66,138.11,0.1347,0.9241,2.4917
17.71,165.4,0.0375,0.8706,0.0
15.99,111.7,0.0302,0.8666,0.1408
8.83,129.56,0.1485,0.9317,2.7043
4.78,32.92,0.1022,0.9062,0.0
3.45,276.37,0.1398,0.9269,34.9198
12.51,79.79,0.0731,0.8902,0.0524
17.61,305.32,0.1168,0.9142,12.6448
6.89,370.94,0.0496,0.8773,42.3999
7.35,264.27,0.052,0.8786,26.0124
12.0,264.57,0.12,0.916,17.0735
9.88,414.28,0.1363,0.925,44.0622
12.74,68.21,0.0663,0.8865,0.2702
1.85,449.0,0.0984,0.9041,64.0305
0.75,261.26,0.0458,0.8752,37.7703
8.23,11.48,0.0873,0.898,0.1103
11.84,113.31,0.1467,0.9307,0.2751
4.28,251.25,0.0386,0.8712,29.6816
18.71,24.18,0.063,0.8846,0.2596
8.8,187.92,0.1052,0.9079,11.6946
1.39,357.27,0.0321,0.8677,51.0514
6.75,460.69,0.0741,0.8908,56.6628
6.86,91.01,0.0876,0.8982,1.0558
12.34,73.3,0.1299,0.9214,0.0
15.94,212.07,0.0531,0.8792,1.8567
16.79,192.84,0.0341,0.8688,0.0
6.81,197.24,0.133,0.9232,17.0993
14.95,190.58,0.1051,0.9078,0.6016
11.49,43.96,0.0263,0.8645,0.0784
11.21,379.66,0.1055,0.908,35.7144
5.16,198.81,0.0838,0.8961,19.7994
4.64,92.3,0.1117,0.9114,4.8627
14.59,16.99,0.1252,0.9189,0.0
2.77,399.8,0.0648,0.8856,54.8801
9.05,157.85,0.1056,0.9081,6.2551
19.23,248.57,0.038,0.8709,1.084
10.92,402.14,0.0895,0.8992,40.0341
11.72,342.98,0.1041,0.9073,29.6554
12.56,352.27,0.1442,0.9293,29.1721
16.13,170.05,0.053,0.8791,0.0
14.88,59.0,0.0322,0.8677,0.1977
6.47,471.65,0.0566,0.8811,58.6906
7.35,415.72,0.1411,0.9276,48.733
4.4,11.17,0.1416,0.9279,0.0
18.89,149.19,0.1126,0.9119,0.0
10.29,282.24,0.1393,0.9266,22.9258
1.21,264.84,0.1283,0.9206,37.4542
0.98,237.26,0.0728,0.89,33.7475
11.29,33.0,0.1133,0.9123,0.3252
5.21,58.49,0.0893,0.8991,0.0713
17.67,239.43,0.0724,0.8898,2.9772
11.93,202.87,0.0329,0.8681,7.7816
5.13,185.5,0.0983,0.9041,18.647
14.19,368.76,0.0408,0.8724,28.5182
8.06,462.1,0.0442,0.8743,54.0407
13.13,439.77,0.0493,0.8771,41.2762
9.06,250.96,0.0898,0.8994,20.9205
13.59,208.76,0.1306,0.9218,5.8199
18.15,157.84,0.1444,0.9294,0.0
9.15,412.95,0.1244,0.9184,44.7798
17.29,79.27,0.1073,0.909,0.0032
18.14,291.05,0.1104,0.9107,9.5014
5.56,189.51,0.0947,0.9021,18.1276
15.67,78.63,0.1115,0.9113,0.0149
9.46,130.42,0.0317,0.8674,1.9488
12.74,404.78,0.0953,0.9024,36.4667
9.07,74.99,0.0572,0.8815,0.2725
15.68,237.83,0.073,0.8901,6.1499
1.0,374.57,0.0663,0.8865,54.3677
11.44,101.64,0.0933,0.9013,0.0
19.89,341.07,0.0564,0.881,13.6915
13.16,210.0,0.1083,0.9096,7.1866
19.25,468.01,0.133,0.9232,34.195
13.6,425.81,0.1177,0.9147,38.1303
19.63,239.34,0.0338,0.8686,0.0
6.7,364.06,0.1335,0.9234,42.0794
7.0,328.57,0.0617,0.8839,36.0775
2.46,467.57,0.0434,0.8739,65.4217
5.63,119.29,0.08,0.894,7.2865
7.96,369.22,0.0211,0.8616,40.2823
5.36,147.11,0.0694,0.8882,12.1064
8.03,326.56,0.0304,0.8667,34.0314
0.96,127.05,0.1489,0.9319,17.3165
18.75,419.43,0.1379,0.9258,27.3855
13.73,173.06,0.047,0.8759,0.1711
13.74,274.68,0.1137,0.9125,15.5387
3.44,471.11,0.0516,0.8784,64.2764
5.99,331.03,0.1151,0.9133,38.189
11.76,102.61,0.0514,0.8783,0.0
7.27,185.28,0.1151,0.9133,14.3921
5.12,90.53,0.0577,0.8817,3.8279
18.94,278.88,0.0341,0.8688,6.127
9.64,443.08,0.0257,0.8641,48.2299
12.83,224.56,0.025,0.8638,9.5907
1.62,18.38,0.0565,0.8811,0.0
15.56,352.77,0.1322,0.9227,23.8899
3.8,63.27,0.0315,0.8673,2.6322
2.13,300.07,0.1294,0.9212,41.2172
18.3,350.92,0.0475,0.8761,18.6482
6.18,160.59,0.0289,0.8659,12.567
0.82,388.62,0.0256,0.8641,56.8248
4.92,194.43,0.0458,0.8752,20.0888
4.57,278.38,0.1378,0.9258,33.4381
8.98,159.09,0.1443,0.9294,7.0224
6.72,237.4,0.0562,0.8809,22.9147
0.77,175.51,0.0438,0.8741,24.9403
11.85,59.88,0.0365,0.8701,0.0
12.45,260.71,0.0938,0.9016,15.5105
16.85,426.89,0.12,0.916,32.3147
3.71,421.46,0.1013,0.9057,56.2382
8.07,169.66,0.0629,0.8846,10.3113
8.81,216.7,0.0412,0.8727,16.0537
4.33,180.94,0.0624,0.8843,19.1292
19.24,196.2,0.0267,0.8647,0.4771
8.6,331.64,0.0708,0.8889,33.3606
7.81,130.28,0.0642,0.8853,4.6132
17.85,348.51,0.0462,0.8754,18.7594
6.76,275.31,0.1375,0.9256,28.5149
11.36,191.0,0.1146,0.913,7.4312
13.06,379.02,0.0788,0.8933,32.3261
15.19,413.72,0.0294,0.8662,33.4922
12.65,379.89,0.0474,0.8761,33.2473
13.76,112.05,0.1219,0.917,0.0609
18.81,110.61,0.0694,0.8882,0.0
8.13,339.74,0.0743,0.8909,35.1706
19.88,118.04,0.0576,0.8817,0.0
4.54,324.41,0.1371,0.9254,40.3335
2.1,219.97,0.0215,0.8618,28.8566
19.15,317.39,0.0863,0.8975,11.6654
13.28,58.24,0.1278,0.9203,0.0
7.51,479.46,0.0257,0.8641,57.9232
7.31,199.51,0.0994,0.9047,16.1468
15.74,449.0,0.059,0.8824,37.8782
4.36,59.47,0.1022,0.9062,0.8422
16.7,163.96,0.0992,0.9046,0.1197
12.33,256.81,0.0312,0.8672,15.4411
11.24,57.59,0.035,0.8692,0.0
14.35,423.92,0.0901,0.8996,36.8023
17.35,86.56,0.0902,0.8996,0.0
1.83,446.56,0.099,0.9044,63.5296
10.53,386.22,0.0934,0.9014,37.9121
13.18,360.34,0.0222,0.8622,29.1162
8.55,67.42,0.1361,0.9249,0.0
14.26,52.41,0.1366,0.9251,0.0
7.75,82.96,0.0275,0.8651,0.0
6.36,41.37,0.0474,0.8761,0.1716
8.59,419.03,0.0794,0.8937,46.6728
14.75,166.63,0.0226,0.8624,0.0
1.72,461.0,0.0583,0.8821,65.9961
13.55,460.03,0.1112,0.9112,43.7689
2.58,469.55,0.0352,0.8694,65.8834
5.6,21.65,0.1184,0.9151,0.0
3.85,480.65,0.1236,0.918,65.2653
17.69,278.65,0.0773,0.8925,8.2808
15.85,489.83,0.0792,0.8936,43.489
16.35,204.43,0.0794,0.8937,0.2532
11.04,136.36,0.0308,0.8669,0.0
15.92,462.53,0.0894,0.8992,39.6759
11.72,299.19,0.1458,0.9302,22.4579
3.21,200.1,0.071,0.8891,23.8251
15.56,209.58,0.1279,0.9203,2.2557
6.4,237.43,0.1107,0.9109,23.4398
11.71,456.59,0.0904,0.8997,46.5743
5.08,244.13,0.1247,0.9186,27.1093
16.39,475.56,0.0489,0.8769,40.6982
3.59,413.66,0.1469,0.9308,55.5191
7.7,317.7,0.0396,0.8718,33.3479
17.01,146.85,0.084,0.8962,0.0
14.83,109.95,0.1263,0.9195,0.0
19.2,96.96,0.104,0.9072,0.0
10.39,117.55,0.0968,0.9032,0.0
6.89,230.04,0.0681,0.8875,21.3715
6.07,409.14,0.0933,0.9013,49.9134
11.68,141.41,0.1215,0.9168,0.0
11.8,388.46,0.1369,0.9253,36.3971
7.85,416.65,0.1407,0.9274,47.6691
4.01,402.61,0.1266,0.9196,52.9019
12.48,115.01,0.1368,0.9252,0.0
11.38,444.01,0.1243,0.9184,45.4206
7.08,372.33,0.055,0.8802,42.5587
4.23,319.02,0.0974,0.9036,39.9389
0.72,248.08,0.072,0.8896,35.5446
7.08,323.63,0.099,0.9044,35.4359
15.56,48.89,0.1049,0.9077,0.2663
1.45,368.94,0.094,0.9017,52.5211
10.28,272.46,0.0695,0.8882,21.8063
2.97,136.81,0.0819,0.895,14.7214
12.07,461.08,0.0983,0.9041,46.5261
19.78,287.43,0.0435,0.8739,5.9067
13.89,201.1,0.14,0.927,4.1329
7.78,154.61,0.1114,0.9113,8.3785
19.26,204.46,0.1244,0.9184,0.0
